 step      Ekin           Epot            Etot        temp
  332  0.0041793028  -74.9641894176  -74.9600101148  293.27
  333  0.0050362747  -74.9650677041  -74.9600314294  353.41
  334  0.0055811102  -74.9656391143  -74.9600580040  391.64
  335  0.0056209069  -74.9656972364  -74.9600763295  394.43
  336  0.0052235200  -74.9653030132  -74.9600794932  366.55
  337  0.0046813076  -74.9647546267  -74.9600733191  328.50
  338  0.0043176252  -74.9643889696  -74.9600713444  302.98
  339  0.0042652114  -74.9643470960  -74.9600818845  299.30
  340  0.0043939497  -74.9644947033  -74.9601007536  308.33
  341  0.0044410898  -74.9645572877  -74.9601161979  311.64
  342  0.0042215733  -74.9643399589  -74.9601183855  296.24
  343  0.0037544424  -74.9638589274  -74.9601044850  263.46
  344  0.0032429903  -74.9633214389  -74.9600784487  227.57
  345  0.0029552894  -74.9630039408  -74.9600486514  207.38
  346  0.0030855614  -74.9631107299  -74.9600251685  216.52
  347  0.0036553565  -74.9636719962  -74.9600166396  256.50
  348  0.0044880158  -74.9645146879  -74.9600266721  314.93
  349  0.0052722497  -74.9653233525  -74.9600511028  369.97
  350  0.0056996457  -74.9657782546  -74.9600786089  399.96
  351  0.0056219454  -74.9657183913  -74.9600964460  394.50
  352  0.0051410586  -74.9652401965  -74.9600991379  360.76
  353  0.0045542695  -74.9646471725  -74.9600929029  319.58
  354  0.0041653777  -74.9642553165  -74.9600899387  292.29
  355  0.0040907550  -74.9641879065  -74.9600971515  287.06
  356  0.0042099138  -74.9643208490  -74.9601109352  295.42
  357  0.0042886803  -74.9644105117  -74.9601218313  300.95
  358  0.0041613304  -74.9642834384  -74.9601221080  292.01
  359  0.0038366861  -74.9639463870  -74.9601097008  269.23
  360  0.0034808110  -74.9635689529  -74.9600881419  244.26
  361  0.0033153288  -74.9633800653  -74.9600647365  232.64
  362  0.0034977689  -74.9635459418  -74.9600481729  245.45
  363  0.0040360072  -74.9640816427  -74.9600456356  283.22
  364  0.0047681981  -74.9648278634  -74.9600596653  334.60
  365  0.0054204124  -74.9655064175  -74.9600860051  380.36
  366  0.0057263173  -74.9658407442  -74.9601144269  401.83
  367  0.0055604846  -74.9656941037  -74.9601336191  390.19
  368  0.0050130926  -74.9651511417  -74.9601380491  351.78
  369  0.0043470239  -74.9644785383  -74.9601315143  305.04
  370  0.0038473196  -74.9639708472  -74.9601235277  269.97
  371  0.0036577426  -74.9637790616  -74.9601213191  256.67
  372  0.0037179987  -74.9638426717  -74.9601246730  260.90
  373  0.0038396185  -74.9639670775  -74.9601274590  269.43
  374  0.0038543049  -74.9639774708  -74.9601231659  270.47
  375  0.0037257227  -74.9638351284  -74.9601094057  261.44
  376  0.0035607415  -74.9636497667  -74.9600890252  249.87
  377  0.0035324293  -74.9636010364  -74.9600686072  247.88
  378  0.0037713015  -74.9638271630  -74.9600558614  264.64
  379  0.0042819580  -74.9643386502  -74.9600566922  300.47
  380  0.0049220538  -74.9649945064  -74.9600724526  345.39
  381  0.0054548762  -74.9655533237  -74.9600984475  382.78
  382  0.0056570988  -74.9657822403  -74.9601251415  396.97
  383  0.0054343964  -74.9655769725  -74.9601425761  381.34
  384  0.0048817942  -74.9650277898  -74.9601459956  342.57
  385  0.0042431056  -74.9643817085  -74.9601386029  297.75
  386  0.0037814964  -74.9639103753  -74.9601288789  265.36
  387  0.0036375204  -74.9637618083  -74.9601242879  255.25
  388  0.0037658127  -74.9638921423  -74.9601263296  264.26
  389  0.0039895506  -74.9641201433  -74.9601305927  279.96
  390  0.0041298810  -74.9642609021  -74.9601310211  289.80
  391  0.0041184017  -74.9642428685  -74.9601244667  289.00
  392  0.0040244343  -74.9641368868  -74.9601124525  282.40
  393  0.0039954967  -74.9640956305  -74.9601001338  280.37
  394  0.0041585938  -74.9642525837  -74.9600939899  291.82
  395  0.0045376453  -74.9646368566  -74.9600992113  318.42
  396  0.0050241484  -74.9651413776  -74.9601172292  352.56
  397  0.0054139207  -74.9655580511  -74.9601441303  379.91
  398  0.0054981868  -74.9656692836  -74.9601710968  385.82
  399  0.0051731353  -74.9653608781  -74.9601877429  363.01
  400  0.0045139526  -74.9647015042  -74.9601875516  316.75
  401  0.0037616574  -74.9639339130  -74.9601722557  263.96
  402  0.0032102187  -74.9633614414  -74.9601512227  225.27
  403  0.0030489595  -74.9631840237  -74.9601350642  213.95
  404  0.0032613676  -74.9633896384  -74.9601282708  228.86
  405  0.0036542723  -74.9637816842  -74.9601274119  256.43
  406  0.0039967292  -74.9641225733  -74.9601258441  280.46
  407  0.0041624183  -74.9642818999  -74.9601194815  292.09
  408  0.0041806683  -74.9642896760  -74.9601090077  293.37
  409  0.0041846272  -74.9642833320  -74.9600987047  293.64
  410  0.0043097459  -74.9644038202  -74.9600940743  302.42
  411  0.0046052635  -74.9647047479  -74.9600994844  323.16
  412  0.0049980081  -74.9651141251  -74.9601161170  350.72
  413  0.0053199757  -74.9654605824  -74.9601406067  373.31
  414  0.0053879319  -74.9655531860  -74.9601652542  378.08
  415  0.0051035438  -74.9652842153  -74.9601806714  358.13
  416  0.0045271618  -74.9647077234  -74.9601805616  317.68
  417  0.0038762797  -74.9640425739  -74.9601662942  272.01
  418  0.0034280261  -74.9635752278  -74.9601472017  240.55
  419  0.0033666889  -74.9635012746  -74.9601345858  236.25
  420  0.0036738835  -74.9638075400  -74.9601336565  257.80
  421  0.0041475617  -74.9642884834  -74.9601409217  291.04
  422  0.0045402051  -74.9646891484  -74.9601489433  318.60
  423  0.0047084465  -74.9648610096  -74.9601525630  330.40
  424  0.0046719595  -74.9648233352  -74.9601513757  327.84
  425  0.0045657336  -74.9647144361  -74.9601487024  320.39
  426  0.0045383613  -74.9646877493  -74.9601493880  318.47
  427  0.0046593959  -74.9648169805  -74.9601575846  326.96
  428  0.0048759817  -74.9650505957  -74.9601746140  342.16
  429  0.0050333893  -74.9652306146  -74.9601972254  353.20
  430  0.0049531081  -74.9651705273  -74.9602174192  347.57
  431  0.0045401161  -74.9647653328  -74.9602252167  318.59
  432  0.0038674289  -74.9640817553  -74.9602143265  271.39
  433  0.0031769646  -74.9633645010  -74.9601875363  222.93
  434  0.0027688570  -74.9629254585  -74.9601566015  194.30
  435  0.0028293555  -74.9629641311  -74.9601347756  198.54
  436  0.0033122515  -74.9634400223  -74.9601277708  232.43
  437  0.0039689098  -74.9641004685  -74.9601315587  278.51
  438  0.0045087186  -74.9646466760  -74.9601379574  316.39
  439  0.0047637638  -74.9649048750  -74.9601411112  334.28
  440  0.0047501620  -74.9648900399  -74.9601398779  333.33
  441  0.0046160232  -74.9647528604  -74.9601368372  323.92
  442  0.0045339004  -74.9646702086  -74.9601363081  318.15
  443  0.0046023607  -74.9647447200  -74.9601423592  322.96
  444  0.0047964389  -74.9649532068  -74.9601567679  336.58
  445  0.0049813727  -74.9651585613  -74.9601771886  349.55
  446  0.0049847368  -74.9651814087  -74.9601966719  349.79
  447  0.0047014339  -74.9649074553  -74.9602060214  329.91
  448  0.0041816928  -74.9643809378  -74.9601992450  293.44
  449  0.0036398994  -74.9638189371  -74.9601790377  255.42
  450  0.0033517001  -74.9635085004  -74.9601568003  235.20
  451  0.0034860095  -74.9636311533  -74.9601451438  244.62
  452  0.0039890993  -74.9641380668  -74.9601489675  279.92
  453  0.0046161193  -74.9647797913  -74.9601636720  323.92
  454  0.0050863197  -74.9652670885  -74.9601807688  356.92
  455  0.0052391082  -74.9654330413  -74.9601939332  367.64
  456  0.0050919293  -74.9652930839  -74.9602011545  357.31
  457  0.0047923136  -74.9649963065  -74.9602039929  336.29
  458  0.0045170489  -74.9647230507  -74.9602060018  316.97
  459  0.0043773800  -74.9645882842  -74.9602109043  307.17
  460  0.0043682994  -74.9645887933  -74.9602204939  306.53
  461  0.0043784296  -74.9646111417  -74.9602327122  307.24
